Rank,Club,Total,Matches,Average,Year
1,Rapid Wien,193.018,11,17.547,2018
2,Sturm Graz,123.809,11,11.255,2018
3,Austria Wien,111.642,11,10.149,2018
4,RB Salzburg,97.445,11,8.859,2018
5,LASK,56.368,11,5.124,2018
6,FC Wacker Innsbruck,47.338,11,4.303,2018
7,SCR Altach,43.865,11,3.988,2018
8,SKN St. Pölten,40.503,11,3.682,2018
9,Wolfsberger AC,40.084,11,3.644,2018
10,TSV Hartberg,36.727,11,3.339,2018
11,SV Mattersburg,32.462,11,2.951,2018
12,FC Admira Wacker,29.047,11,2.641,2018
1,Rapid Wien,205.336,11,18.667,2019
2,RB Salzburg,122.685,11,11.153,2019
3,Sturm Graz,114.017,11,10.365,2019
4,Austria Wien,84.558,11,7.687,2019
5,LASK,60.300,11,5.482,2019
6,SCR Altach,44.395,11,4.036,2019
7,Wolfsberger AC,43.178,11,3.925,2019
8,SKN St. Pölten,37.005,11,3.364,2019
9,TSV Hartberg,36.277,11,3.298,2019
10,WSG Tirol,30.449,11,2.768,2019
11,FC Admira Wacker,29.333,11,2.667,2019
12,SV Mattersburg,26.653,11,2.423,2019
1,Rapid Wien,15.823,11,1.438,2020
2,LASK,10.419,11,947,2020
3,Austria Wien,9.333,11,848,2020
4,Sturm Graz,7.500,11,682,2020
5,RB Salzburg,7.458,11,678,2020
6,SV Ried,6.872,11,625,2020
7,Wolfsberger AC,5.435,11,494,2020
8,TSV Hartberg,3.909,11,355,2020
9,SCR Altach,3.700,11,336,2020
10,SKN St. Pölten,3.330,11,303,2020
11,FC Admira Wacker,2.665,11,242,2020
12,WSG Tirol,2.247,11,204,2020
1,Rapid Wien,131.065,11,11.915,2021
2,RB Salzburg,105.010,11,9.546,2021
3,Sturm Graz,104.502,11,9.500,2021
4,Austria Wien,73.043,11,6.640,2021
5,SK Austria Klagenfurt,45.371,11,4.125,2021
6,LASK,43.327,11,3.939,2021
7,SV Ried,39.886,11,3.626,2021
8,SCR Altach,32.703,11,2.973,2021
9,Wolfsberger AC,30.966,11,2.815,2021
10,TSV Hartberg,23.634,11,2.149,2021
11,FC Admira Wacker,21.866,11,1.988,2021
12,WSG Tirol,15.475,11,1.407,2021
1,Rapid Wien,203.220,11,18.475,2022
2,Sturm Graz,137.118,11,12.465,2022
3,RB Salzburg,124.514,11,11.319,2022
4,Austria Wien,122.330,11,11.121,2022
5,LASK,73.669,11,6.697,2022
6,SCR Altach,54.885,11,4.990,2022
7,SV Ried,51.671,11,4.697,2022
8,SK Austria Klagenfurt,45.933,11,4.176,2022
9,Austria Lustenau,44.295,11,4.027,2022
10,Wolfsberger AC,34.678,11,3.153,2022
11,TSV Hartberg,28.502,11,2.591,2022
12,WSG Tirol,27.906,11,2.537,2022
