Home_team,Away_team,Score,Time,League,Year
Austria Wien,FC Wacker Innsbruck,2:1 (1:1),19:45,aut-bundesliga,2018
Sturm Graz,TSV Hartberg,3:2 (2:1),16:00,aut-bundesliga,2018
SCR Altach,SV Mattersburg,2:3 (1:1),16:00,aut-bundesliga,2018
SKN St. Pölten,Wolfsberger AC,4:3 (2:2),16:00,aut-bundesliga,2018
FC Admira Wacker,Rapid Wien,0:3 (0:3),16:00,aut-bundesliga,2018
RB Salzburg,LASK,3:1 (3:0),16:00,aut-bundesliga,2018
Rapid Wien,SCR Altach,1:1 (1:0),16:00,aut-bundesliga,2018
SV Mattersburg,RB Salzburg,0:2 (0:0),16:00,aut-bundesliga,2018
FC Wacker Innsbruck,Sturm Graz,2:3 (0:1),16:00,aut-bundesliga,2018
TSV Hartberg,FC Admira Wacker,0:1 (0:0),16:00,aut-bundesliga,2018
LASK,SKN St. Pölten,0:0 (0:0),16:00,aut-bundesliga,2018
Wolfsberger AC,Austria Wien,1:0 (0:0),16:00,aut-bundesliga,2018
RB Salzburg,Austria Wien,2:0 (1:0),16:00,aut-bundesliga,2018
SCR Altach,FC Wacker Innsbruck,1:2 (1:2),16:00,aut-bundesliga,2018
TSV Hartberg,SV Mattersburg,4:2 (3:1),16:00,aut-bundesliga,2018
SKN St. Pölten,Sturm Graz,2:0 (1:0),16:00,aut-bundesliga,2018
FC Admira Wacker,LASK,0:1 (0:0),16:00,aut-bundesliga,2018
Rapid Wien,Wolfsberger AC,0:0 (0:0),16:00,aut-bundesliga,2018
RB Salzburg,TSV Hartberg,2:0 (0:0),16:00,aut-bundesliga,2018
SV Mattersburg,Wolfsberger AC,0:6 (0:3),16:00,aut-bundesliga,2018
FC Wacker Innsbruck,SKN St. Pölten,0:2 (0:1),16:00,aut-bundesliga,2018
Sturm Graz,SCR Altach,1:1 (1:0),16:00,aut-bundesliga,2018
Austria Wien,FC Admira Wacker,4:0 (2:0),16:00,aut-bundesliga,2018
LASK,Rapid Wien,2:1 (0:0),16:00,aut-bundesliga,2018
SCR Altach,RB Salzburg,2:3 (1:2),16:00,aut-bundesliga,2018
Wolfsberger AC,Sturm Graz,1:1 (1:0),16:00,aut-bundesliga,2018
SKN St. Pölten,Austria Wien,0:0 (0:0),16:00,aut-bundesliga,2018
TSV Hartberg,LASK,0:1 (0:1),16:00,aut-bundesliga,2018
FC Admira Wacker,SV Mattersburg,0:0 (0:0),16:00,aut-bundesliga,2018
Rapid Wien,FC Wacker Innsbruck,2:1 (1:0),16:00,aut-bundesliga,2018
Austria Wien,SV Mattersburg,2:1 (0:1),16:00,aut-bundesliga,2018
SCR Altach,SKN St. Pölten,1:2 (0:1),16:00,aut-bundesliga,2018
FC Wacker Innsbruck,TSV Hartberg,2:1 (1:1),16:00,aut-bundesliga,2018
LASK,Wolfsberger AC,2:0 (1:0),16:00,aut-bundesliga,2018
RB Salzburg,FC Admira Wacker,3:1 (1:0),16:00,aut-bundesliga,2018
Sturm Graz,Rapid Wien,1:1 (1:0),16:00,aut-bundesliga,2018
FC Admira Wacker,Sturm Graz,2:3 (1:1),16:00,aut-bundesliga,2018
SKN St. Pölten,RB Salzburg,1:3 (1:1),16:00,aut-bundesliga,2018
TSV Hartberg,SCR Altach,2:1 (0:0),16:00,aut-bundesliga,2018
Wolfsberger AC,FC Wacker Innsbruck,3:1 (0:1),13:30,aut-bundesliga,2018
SV Mattersburg,LASK,1:3 (0:1),13:30,aut-bundesliga,2018
Rapid Wien,Austria Wien,0:1 (0:0),16:00,aut-bundesliga,2018
Sturm Graz,SV Mattersburg,1:2 (1:1),16:00,aut-bundesliga,2018
SCR Altach,Wolfsberger AC,0:1 (0:1),16:00,aut-bundesliga,2018
SKN St. Pölten,TSV Hartberg,3:0 (1:0),16:00,aut-bundesliga,2018
Austria Wien,LASK,0:3 (0:1),13:30,aut-bundesliga,2018
FC Wacker Innsbruck,FC Admira Wacker,1:3 (0:1),13:30,aut-bundesliga,2018
RB Salzburg,Rapid Wien,2:1 (1:0),16:00,aut-bundesliga,2018
Rapid Wien,SKN St. Pölten,0:2 (0:1),16:00,aut-bundesliga,2018
FC Admira Wacker,SCR Altach,2:4 (1:2),16:00,aut-bundesliga,2018
Wolfsberger AC,RB Salzburg,1:4 (0:0),16:00,aut-bundesliga,2018
SV Mattersburg,FC Wacker Innsbruck,2:1 (0:0),13:30,aut-bundesliga,2018
TSV Hartberg,Austria Wien,0:1 (0:0),13:30,aut-bundesliga,2018
LASK,Sturm Graz,0:0 (0:0),16:00,aut-bundesliga,2018
SCR Altach,Austria Wien,2:0 (0:0),16:00,aut-bundesliga,2018
Wolfsberger AC,TSV Hartberg,3:4 (2:1),16:00,aut-bundesliga,2018
SKN St. Pölten,FC Admira Wacker,0:0 (0:0),16:00,aut-bundesliga,2018
Rapid Wien,SV Mattersburg,1:0 (1:0),13:30,aut-bundesliga,2018
FC Wacker Innsbruck,LASK,1:0 (0:0),13:30,aut-bundesliga,2018
Sturm Graz,RB Salzburg,1:2 (1:1),16:00,aut-bundesliga,2018
RB Salzburg,FC Wacker Innsbruck,1:1 (0:0),16:00,aut-bundesliga,2018
LASK,SCR Altach,1:1 (0:0),16:00,aut-bundesliga,2018
TSV Hartberg,Rapid Wien,3:0 (2:0),16:00,aut-bundesliga,2018
FC Admira Wacker,Wolfsberger AC,0:0 (0:0),13:30,aut-bundesliga,2018
SV Mattersburg,SKN St. Pölten,2:0 (0:0),13:30,aut-bundesliga,2018
Austria Wien,Sturm Graz,1:1 (0:1),16:00,aut-bundesliga,2018
SV Mattersburg,SCR Altach,1:1 (0:0),16:00,aut-bundesliga,2018
FC Wacker Innsbruck,Austria Wien,0:0 (0:0),16:00,aut-bundesliga,2018
TSV Hartberg,Sturm Graz,2:0 (0:0),16:00,aut-bundesliga,2018
Rapid Wien,FC Admira Wacker,2:0 (1:0),13:30,aut-bundesliga,2018
Wolfsberger AC,SKN St. Pölten,1:0 (0:0),13:30,aut-bundesliga,2018
LASK,RB Salzburg,3:3 (2:2),16:00,aut-bundesliga,2018
Sturm Graz,FC Wacker Innsbruck,1:1 (0:0),16:00,aut-bundesliga,2018
FC Admira Wacker,TSV Hartberg,2:3 (0:1),16:00,aut-bundesliga,2018
SKN St. Pölten,LASK,2:2 (1:1),16:00,aut-bundesliga,2018
RB Salzburg,SV Mattersburg,2:1 (0:0),13:30,aut-bundesliga,2018
Austria Wien,Wolfsberger AC,2:3 (2:1),13:30,aut-bundesliga,2018
SCR Altach,Rapid Wien,2:2 (1:2),16:00,aut-bundesliga,2018
FC Wacker Innsbruck,SCR Altach,1:0 (1:0),16:00,aut-bundesliga,2018
Sturm Graz,SKN St. Pölten,0:0 (0:0),16:00,aut-bundesliga,2018
LASK,FC Admira Wacker,5:1 (1:0),16:00,aut-bundesliga,2018
SV Mattersburg,TSV Hartberg,1:2 (0:0),13:30,aut-bundesliga,2018
Wolfsberger AC,Rapid Wien,3:1 (0:1),13:30,aut-bundesliga,2018
Austria Wien,RB Salzburg,0:2 (0:0),16:00,aut-bundesliga,2018
