Rank,Club,Total,Matches,Average,Year
1,Club Brugge KV,398.369,15,26.558,2017
2,Standard Liège,351.454,15,23.430,2017
3,KAA Gent,296.162,15,19.744,2017
4,RSC Anderlecht,290.783,15,19.386,2017
5,KRC Genk,230.886,15,15.392,2017
6,KV Mechelen,203.386,15,13.559,2017
7,Royal Antwerp FC,175.104,15,11.674,2017
8,Sporting Charleroi,161.231,15,10.749,2017
9,SV Zulte Waregem,136.817,15,9.121,2017
10,KV Kortrijk,113.670,15,7.578,2017
11,Sint-Truidense VV,97.835,15,6.522,2017
12,Sporting Lokeren,93.241,15,6.216,2017
13,Waasland-Beveren,91.608,15,6.107,2017
14,KV Oostende,87.592,15,5.839,2017
15,Royal Excel Mouscron,81.781,15,5.452,2017
16,KAS Eupen,49.564,15,3.304,2017
1,Club Brugge KV,363.136,15,24.209,2018
2,Standard Liège,329.332,15,21.955,2018
3,RSC Anderlecht,282.296,15,18.820,2018
4,KRC Genk,263.698,15,17.580,2018
5,KAA Gent,260.834,15,17.389,2018
6,Royal Antwerp FC,186.912,15,12.461,2018
7,Sporting Charleroi,135.729,15,9.049,2018
8,SV Zulte Waregem,117.819,15,7.855,2018
9,Sint-Truidense VV,112.102,15,7.473,2018
10,Cercle Brugge,109.748,15,7.317,2018
11,KV Kortrijk,95.398,15,6.360,2018
12,KV Oostende,80.074,15,5.338,2018
13,Sporting Lokeren,67.573,15,4.505,2018
14,Waasland-Beveren,66.398,15,4.427,2018
15,Royal Excel Mouscron,64.002,15,4.267,2018
16,KAS Eupen,45.465,15,3.031,2018
1,Club Brugge KV,356.352,15,23.757,2019
2,Standard Liège,328.281,15,21.885,2019
3,KRC Genk,265.640,14,18.974,2019
4,RSC Anderlecht,282.291,15,18.819,2019
5,KAA Gent,254.253,15,16.950,2019
6,KV Mechelen,222.529,15,14.835,2019
7,Royal Antwerp FC,177.877,14,12.706,2019
8,Sporting Charleroi,137.626,14,9.830,2019
9,SV Zulte Waregem,93.709,14,6.694,2019
10,Cercle Brugge,88.857,14,6.347,2019
11,KV Kortrijk,91.083,15,6.072,2019
12,Sint-Truidense VV,77.558,14,5.540,2019
13,KV Oostende,74.622,15,4.975,2019
14,Royal Excel Mouscron,67.158,15,4.477,2019
15,Waasland-Beveren,54.042,14,3.860,2019
16,KAS Eupen,45.087,14,3.221,2019
1,Club Brugge KV,24.700,17,1.453,2020
2,Standard Liège,23.301,17,1.371,2020
3,RSC Anderlecht,17.500,17,1.029,2020
4,KAA Gent,15.995,17,941,2020
5,KV Mechelen,15.545,17,914,2020
6,SV Zulte Waregem,10.628,17,625,2020
7,Sporting Charleroi,9.967,17,586,2020
8,K Beerschot VA,9.600,17,565,2020
9,KRC Genk,8.223,17,484,2020
10,Royal Antwerp FC,7.700,17,453,2020
11,KV Kortrijk,6.520,17,384,2020
12,Cercle Brugge,4.500,17,265,2020
13,KV Oostende,4.212,17,248,2020
14,Waasland-Beveren,3.550,17,209,2020
15,Sint-Truidense VV,3.150,17,185,2020
16,Oud-Heverlee Leuven,3.000,17,176,2020
17,Royal Excel Mouscron,2.400,17,141,2020
18,KAS Eupen,1.340,17,79,2020
1,Club Brugge KV,320.707,17,18.865,2021
2,RSC Anderlecht,232.500,16,14.531,2021
3,KAA Gent,225.289,16,14.081,2021
4,KRC Genk,200.356,16,12.522,2021
5,Standard Liège,204.558,17,12.033,2021
6,KV Mechelen,167.641,17,9.861,2021
7,Royal Antwerp FC,148.891,16,9.306,2021
8,Union Saint-Gilloise,93.741,16,5.859,2021
9,Sporting Charleroi,97.353,17,5.727,2021
10,SV Zulte Waregem,91.329,16,5.708,2021
11,Oud-Heverlee Leuven,77.690,15,5.179,2021
12,K Beerschot VA,75.300,17,4.429,2021
13,KV Kortrijk,68.598,16,4.287,2021
14,Sint-Truidense VV,61.334,16,3.833,2021
15,KV Oostende,51.006,17,3.000,2021
16,Cercle Brugge,47.035,16,2.940,2021
17,RFC Seraing,36.784,16,2.299,2021
18,KAS Eupen,30.937,17,1.820,2021
1,Club Brugge KV,389.537,17,22.914,2022
2,Standard Liège,348.127,17,20.478,2022
3,RSC Anderlecht,299.130,16,18.696,2022
4,KRC Genk,288.637,17,16.979,2022
5,KAA Gent,223.963,16,13.998,2022
6,Royal Antwerp FC,236.373,17,13.904,2022
7,KV Mechelen,203.705,17,11.983,2022
8,SV Zulte Waregem,127.938,17,7.526,2022
9,Oud-Heverlee Leuven,110.411,17,6.495,2022
10,Sporting Charleroi,109.395,17,6.435,2022
11,KV Kortrijk,107.578,17,6.328,2022
12,Union Saint-Gilloise,105.774,17,6.222,2022
13,Sint-Truidense VV,104.086,17,6.123,2022
14,Cercle Brugge,102.267,17,6.016,2022
15,KVC Westerlo,96.184,17,5.658,2022
16,KV Oostende,62.722,17,3.690,2022
17,KAS Eupen,51.598,17,3.035,2022
18,RFC Seraing,37.890,17,2.229,2022
