Rank,Club,Total,Matches,Average,Year
1,Club Brugge KV,137.606,5,27.521,2017
2,Standard Liège,124.124,5,24.825,2017
3,RSC Anderlecht,96.582,5,19.316,2017
4,KAA Gent,93.407,5,18.681,2017
5,KRC Genk,82.570,5,16.514,2017
6,Sporting Charleroi,48.507,5,9.701,2017
1,Club Brugge KV,122.682,5,24.536,2018
2,Standard Liège,113.580,5,22.716,2018
3,KRC Genk,108.117,5,21.623,2018
4,RSC Anderlecht,90.855,5,18.171,2018
5,KAA Gent,84.441,5,16.888,2018
6,Royal Antwerp FC,73.970,5,14.794,2018
1,Club Brugge KV,500,3,167,2020
2,RSC Anderlecht,0,3,0,2020
,Royal Antwerp FC,0,3,0,2020
,KRC Genk,0,3,0,2020
1,Club Brugge KV,86.000,3,28.667,2021
2,RSC Anderlecht,60.000,3,20.000,2021
3,Royal Antwerp FC,40.783,3,13.594,2021
4,Union Saint-Gilloise,26.800,3,8.933,2021
1,Club Brugge KV,67.073,3,22.358,2022
2,KRC Genk,64.285,3,21.428,2022
3,Royal Antwerp FC,46.277,3,15.426,2022
4,Union Saint-Gilloise,23.384,3,7.795,2022
