Rank,Club,Total,Matches,Average,Year
1,Borussia Dortmund,1.373.940,17,80.820,2018
2,Bayern München,1.275.000,17,75.000,2018
3,FC Schalke 04,1.035.999,17,60.941,2018
4,VfB Stuttgart,927.363,17,54.551,2018
5,Eintracht Frankfurt,846.000,17,49.765,2018
6,Bor. Mönchengladbach,844.360,17,49.668,2018
7,Hertha BSC,837.409,17,49.259,2018
8,Fortuna Düsseldorf,745.571,17,43.857,2018
9,Werder Bremen,704.052,17,41.415,2018
10,1. FC Nürnberg,686.332,17,40.372,2018
11,RB Leipzig,652.456,17,38.380,2018
12,Hannover 96,652.200,17,38.365,2018
13,FC Augsburg,486.590,17,28.623,2018
14,1899 Hoffenheim,483.745,17,28.456,2018
15,Bayer Leverkusen,475.833,17,27.990,2018
16,1. FSV Mainz 05,446.185,17,26.246,2018
17,VfL Wolfsburg,416.170,17,24.481,2018
18,SC Freiburg,406.200,17,23.894,2018
1,Bayern München,975.000,17,57.353,2019
2,Borussia Dortmund,974.050,17,57.297,2019
3,FC Schalke 04,793.577,17,46.681,2019
4,Hertha BSC,640.720,17,37.689,2019
5,Bor. Mönchengladbach,613.479,17,36.087,2019
6,Eintracht Frankfurt,601.900,17,35.406,2019
7,1. FC Köln,596.600,17,35.094,2019
8,Fortuna Düsseldorf,519.882,17,30.581,2019
9,RB Leipzig,489.920,17,28.819,2019
10,Werder Bremen,449.028,17,26.413,2019
11,Bayer Leverkusen,361.006,17,21.236,2019
12,1. FSV Mainz 05,351.853,17,20.697,2019
13,1899 Hoffenheim,347.634,17,20.449,2019
14,FC Augsburg,344.513,17,20.265,2019
15,VfL Wolfsburg,316.558,17,18.621,2019
16,SC Freiburg,287.100,17,16.888,2019
17,1. FC Union Berlin,262.482,17,15.440,2019
18,SC Paderborn 07,187.648,17,11.038,2019
1,Borussia Dortmund,21.800,17,1.282,2020
2,RB Leipzig,17.999,17,1.059,2020
3,VfB Stuttgart,17.500,17,1.029,2020
4,1. FC Union Berlin,15.900,17,935,2020
5,Eintracht Frankfurt,14.500,17,853,2020
6,1899 Hoffenheim,12.160,17,715,2020
7,VfL Wolfsburg,11.000,17,647,2020
8,Bor. Mönchengladbach,10.683,17,628,2020
9,Werder Bremen,8.600,17,506,2020
10,Hertha BSC,8.000,17,471,2020
11,FC Augsburg,6.000,17,353,2020
,Bayer Leverkusen,6.000,17,353,2020
13,Arminia Bielefeld,5.460,17,321,2020
14,1. FSV Mainz 05,3.753,17,221,2020
15,SC Freiburg,3.200,17,188,2020
16,1. FC Köln,600,17,35,2020
17,FC Schalke 04,300,17,18,2020
18,Bayern München,250,17,15,2020
1,Borussia Dortmund,710.920,17,41.819,2021
2,Bayern München,562.000,17,33.059,2021
3,1. FC Köln,544.400,17,32.024,2021
4,VfB Stuttgart,459.882,17,27.052,2021
5,Bor. Mönchengladbach,451.160,17,26.539,2021
6,Eintracht Frankfurt,444.750,17,26.162,2021
7,Hertha BSC,396.955,17,23.350,2021
8,RB Leipzig,376.112,17,22.124,2021
9,SC Freiburg,321.600,17,18.918,2021
10,1. FSV Mainz 05,305.633,17,17.978,2021
11,Bayer Leverkusen,285.385,17,16.787,2021
12,Arminia Bielefeld,285.139,17,16.773,2021
13,VfL Bochum,266.807,17,15.695,2021
14,FC Augsburg,258.352,17,15.197,2021
15,1. FC Union Berlin,238.597,17,14.035,2021
16,VfL Wolfsburg,204.148,17,12.009,2021
17,1899 Hoffenheim,190.866,17,11.227,2021
18,SpVgg Greuther Fürth,130.426,17,7.672,2021
1,Borussia Dortmund,1.380.875,17,81.228,2022
2,Bayern München,1.275.024,17,75.001,2022
3,FC Schalke 04,1.039.620,17,61.154,2022
4,Hertha BSC,912.087,17,53.652,2022
5,Bor. Mönchengladbach,890.384,17,52.376,2022
6,Eintracht Frankfurt,850.700,17,50.041,2022
7,1. FC Köln,843.500,17,49.618,2022
8,VfB Stuttgart,790.011,17,46.471,2022
9,RB Leipzig,774.503,17,45.559,2022
10,Werder Bremen,707.546,17,41.620,2022
11,SC Freiburg,576.500,17,33.912,2022
12,1. FSV Mainz 05,498.985,17,29.352,2022
13,Bayer Leverkusen,486.357,17,28.609,2022
14,FC Augsburg,475.249,17,27.956,2022
15,VfL Bochum,431.007,17,25.353,2022
16,VfL Wolfsburg,425.599,17,25.035,2022
17,1899 Hoffenheim,418.783,17,24.634,2022
18,1. FC Union Berlin,370.971,17,21.822,2022
