Rank,Club,Total,Matches,Average,Year
1,AFC Ajax,900.334,17,52.961,2018
2,Feyenoord,710.100,17,41.771,2018
3,PSV Eindhoven,579.200,17,34.071,2018
4,FC Utrecht,320.294,17,18.841,2018
5,sc Heerenveen,318.636,17,18.743,2018
6,NAC Breda,310.447,17,18.262,2018
7,FC Groningen,301.653,17,17.744,2018
8,AZ Alkmaar,257.261,17,15.133,2018
9,Vitesse,256.112,17,15.065,2018
10,PEC Zwolle,229.118,17,13.478,2018
11,Willem II,220.969,17,12.998,2018
12,ADO Den Haag,213.530,17,12.561,2018
13,De Graafschap,209.465,17,12.321,2018
14,Heracles Almelo,186.870,17,10.992,2018
15,Fortuna Sittard,154.698,17,9.100,2018
16,FC Emmen,140.454,17,8.262,2018
17,VVV-Venlo,116.082,17,6.828,2018
18,SBV Excelsior,71.634,17,4.214,2018
1,AFC Ajax,693.446,13,53.342,2019
2,Feyenoord,549.169,13,42.244,2019
3,PSV Eindhoven,403.500,12,33.625,2019
4,FC Twente,353.100,13,27.162,2019
5,FC Utrecht,233.251,12,19.438,2019
6,sc Heerenveen,258.854,14,18.490,2019
7,FC Groningen,237.677,13,18.283,2019
8,Vitesse,189.426,13,14.571,2019
9,Willem II,176.516,13,13.578,2019
10,PEC Zwolle,160.285,12,13.357,2019
11,ADO Den Haag,156.008,13,12.001,2019
12,AZ Alkmaar,139.477,13,10.729,2019
13,Heracles Almelo,133.997,13,10.307,2019
14,Sparta Rotterdam,130.640,13,10.049,2019
15,FC Emmen,106.131,13,8.164,2019
16,Fortuna Sittard,103.680,13,7.975,2019
17,VVV-Venlo,85.537,13,6.580,2019
18,RKC Waalwijk,73.957,13,5.689,2019
1,Feyenoord,32.500,17,1.912,2020
2,AFC Ajax,31.624,17,1.860,2020
3,FC Twente,20.000,17,1.176,2020
4,sc Heerenveen,12.500,17,735,2020
5,PSV Eindhoven,12.000,17,706,2020
6,FC Groningen,6.049,17,356,2020
7,Sparta Rotterdam,5.934,17,349,2020
,PEC Zwolle,5.926,17,349,2020
9,Willem II,5.908,17,348,2020
10,Fortuna Sittard,5.825,17,343,2020
11,Heracles Almelo,5.783,17,340,2020
12,FC Emmen,5.699,17,335,2020
13,FC Utrecht,4.944,17,291,2020
14,Vitesse,4.914,17,289,2020
15,ADO Den Haag,4.317,17,254,2020
16,AZ Alkmaar,3.500,17,206,2020
17,RKC Waalwijk,1.967,17,116,2020
18,VVV-Venlo,1.435,17,84,2020
1,AFC Ajax,623.147,17,36.656,2021
2,Feyenoord,504.550,17,29.679,2021
3,PSV Eindhoven,343.915,16,21.495,2021
4,FC Twente,313.500,16,19.594,2021
5,FC Utrecht,240.137,17,14.126,2021
6,FC Groningen,215.185,16,13.449,2021
7,sc Heerenveen,223.121,17,13.125,2021
8,AZ Alkmaar,174.388,17,10.258,2021
9,Vitesse,173.534,17,10.208,2021
10,PEC Zwolle,153.775,17,9.046,2021
11,Willem II,144.149,16,9.009,2021
12,NEC Nijmegen,123.028,17,7.237,2021
13,Fortuna Sittard,113.811,17,6.695,2021
14,SC Cambuur,109.932,17,6.467,2021
15,Go Ahead Eagles,103.250,16,6.453,2021
16,Sparta Rotterdam,103.028,17,6.060,2021
17,Heracles Almelo,96.666,17,5.686,2021
18,RKC Waalwijk,66.692,17,3.923,2021
1,AFC Ajax,861.345,16,53.834,2022
2,Feyenoord,807.500,17,47.500,2022
3,PSV Eindhoven,542.696,17,31.923,2022
4,FC Twente,496.600,17,29.212,2022
5,sc Heerenveen,357.503,17,21.030,2022
6,FC Utrecht,336.076,17,19.769,2022
7,AZ Alkmaar,288.431,17,16.967,2022
8,FC Groningen,275.448,17,16.203,2022
9,Vitesse,257.189,17,15.129,2022
10,NEC Nijmegen,210.880,17,12.405,2022
11,Sparta Rotterdam,173.891,17,10.229,2022
12,Fortuna Sittard,173.172,17,10.187,2022
13,SC Cambuur,166.981,17,9.822,2022
14,Go Ahead Eagles,164.546,17,9.679,2022
15,FC Emmen,138.588,17,8.152,2022
16,FC Volendam,113.270,17,6.663,2022
17,RKC Waalwijk,101.660,17,5.980,2022
18,SBV Excelsior,73.710,17,4.336,2022
